epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants
107,2021-02-18,Brazil,CE,TOTAL,28,10896,0,408555,10868,408555,119.31567,4473.84484,0.02667,308294,37544,1373571,15041.16588,247319,2.70824,26445,0.28958,,
107,2021-02-18,Brazil,DF,TOTAL,10,4728,645,287365,4728,287365,156.80198,9530.33031,0.01645,277790,47,782118,25938.58987,114471,3.79638,15072,0.49986,,
107,2021-02-18,Brazil,ES,TOTAL,25,6234,1062,313676,6234,313527,155.12672,7805.50682,0.01987,296340,193075,942993,23465.41749,105133,2.61613,462,0.01150,,
107,2021-02-18,Brazil,GO,TOTAL,70,8203,1767,378080,8163,377020,116.87926,5387.01810,0.02170,362969,317051,790113,11257.81059,186335,2.65497,10376,0.14784,,
107,2021-02-18,Brazil,MA,TOTAL,12,4895,420,214478,4895,214478,69.18551,3031.41361,0.02282,200614,1563,525034,7420.78542,130797,1.84867,18368,0.25961,,
107,2021-02-18,Brazil,MG,TOTAL,140,17249,5547,822448,17249,822448,81.48316,3885.19118,0.02097,751443,2284178,2897457,13687.39953,433553,2.04808,145602,0.68781,,
107,2021-02-18,Brazil,MS,TOTAL,8,3186,871,174106,3178,173235,114.64613,6265.09094,0.01830,162334,1120,570769,20538.75047,105341,3.79063,30052,1.08140,,
107,2021-02-18,Brazil,MT,TOTAL,30,5574,1542,238781,5484,237403,159.96712,6852.72865,0.02334,224326,33588,899810,25823.46908,76288,2.18937,18513,0.53130,,
107,2021-02-18,Brazil,PA,TOTAL,76,8163,1564,353036,8087,351472,94.88699,4103.70266,0.02312,331483,1238,980727,11400.00453,101095,1.17513,9649,0.11216,,
107,2021-02-18,Brazil,PB,TOTAL,18,4306,1331,208742,4306,208742,107.16436,5195.00752,0.02063,155907,47948,633437,15764.48430,103107,2.56605,8602,0.21408,,
107,2021-02-18,Brazil,PE,TOTAL,36,10780,2226,287066,10780,287066,112.79606,3003.70270,0.03755,247456,2239,1169728,12239.39845,251570,2.63229,57650,0.60322,,
107,2021-02-18,Brazil,PI,TOTAL,10,3232,779,168403,3222,167624,98.74048,5144.86163,0.01919,164616,941,529566,16178.71293,63379,1.93628,2851,0.08710,,
107,2021-02-18,Brazil,PR,TOTAL,90,10992,3040,604594,10992,604594,96.13470,5287.70573,0.01818,445050,13360,2255694,19728.02591,271275,2.37254,37697,0.32969,,
107,2021-02-18,Brazil,RJ,TOTAL,181,31882,2415,566928,31882,566928,184.66322,3283.69459,0.05624,532138,52017,2313502,13399.99790,418419,2.42352,49407,0.28617,,
